Generation,Best Weight
21,010111000101011110000110110110011010100101011010011010100111101001011110111111100001100101100111001011010000010101001001101111011010000011110010010011001110111101111111010010000100011011010101001011011001011111101000011011011010101110111001011101111100011011011001110001000101100101110010100000011111000110010111100011101111000010110101110100110010110001000001011011101111101001111100101110111101100110101010110111000001000000010000001101110101011011001110011000010110111101010101001011011100000010010100100101001001001010001001110111001101100110010110111000011111011000010100100110111000000011011111011101110101010010010010000111101000101111110100001101100111010001100111100000010001100011110010010000110100100100100110011001111100011010111001110010101000000110010000110101101001001010101011010010000010000010011010000000011000001010100100100101001110010001010110011111010111011011111100011110001110100011111111101000111011100100111111110111011011111111101000
22,010111000101011110000110110110011010100101011010011010100111101001011110111111100001100101100111001011010000010101001001101111011010000011110010010011001110111101111111010010000100011011010101001011011001011111101000011011011010101110111001011101111100011011011001110001000101100101110010100000011111000110010111100011101111000010110101110100110010110001000001011011101111101001111100101110111101100110101010110111000001000000010000001101110101011011001110011000010110111101010101001011011100000010010100100101001001001010001001110111001101100110010110111000011111011000010100100110111000000011011111011101110101010010010010000111101000101111110100001101100111010001100111100000010001100011110010010000110100100100100110011001111100011010111001110010101000000110010000110101101001001010101011010010000010000010011010000000011000001010100100100101001110010001010110011111010111011011111100011110001110100011111111101000111011100100111111110111011011111111101000
23,101111000110011100100100100110011000110011011110111001010011001101001110111011100111110011100100000111000000010101101001101110100010110011101110010001011111111100010110110011110101111111011110001001010111011111001100001011111011100101000001011001101100001101011111110000001001100000011010110000001010110011100000110010100111000010110001000110000010100000110101010100101001110001111100101011101001000111111001010110000000011000011101001010110000101001100110010001001010011100011101011001011100101000000001011101011001011010101001000111011100101111011100111000011111011001100100101000100001110001010000010101100101011000010001111011110001101111001110001011000111110001000111110001001111000011000010010001100010110100100001100000111000011111111100110001101010001110111010000001101001101000000010010011000010011010001111100100000001111111000000101110011010001100100100111111110111111001111110010100001110110000101011101000111110100101110111110111011000010111101010
24,000011000100011110100101100110011100110000011110111001011011101100001110111011101101000011101100010010000000010110100001100111100000110111001010010000000111111101010110110000110101111111011110001001011011001111000011101011110111100101000001101001011000001001011110110000001000101000111110110000001110110001100000110011001111000010010011000110100010110001111101010100100001110001111100101011101001010111111010010110010000001000011101001110110000101001100110011001011011011111010001011001011100101000110001001101011001011010001001000101011110101001010100111001011110011000000101100001101001100011000101001101101101011011110000110011100001101111001101001011000111110001000011110100010110000011100010110001100010110100000101010000111000011111111101110001001000001100111011000001101001111000000000000011100010011010001101100000000001111110000000001110010110001100100100111011011111011011111110010000001110110001001001101000111100100101110111110111001100000111111011
25,110011001100001110100101111011001000110101011110111001111111101000010110101011100111110111101110011010000100010001101101101111010100110000001010011111110110011001111011110000101101101111101110011011101100001011101110001101111111101111001001101001001001001001011111010001111011101000011110110000011101000010001000010100101101001010110011110110100010111111111011001000000101000010110100101011101100011111011000110110000000000000010100001100110001001001110111011001011000011111001001011001110010001001110100011001011001001110001001010101001000111111111111111000011111011100000101101010101011001001110110010111101101010010100000000011001000100101000110000111100101001000010101010000000011101000000011010001110000100100011011010010111000011010011000110100011010001000111011001101111000101101100111010010011110001010010001110000010111011010110000111101010111001101000100011101010010111000111100010000001110110001001101101011101110110100110101110111011101011001100100
26,110011001100001110100101111011001000110101011110111001111111101000010110101011100111110111101110011010000100010001101101101111010100110000001010011111110110011001111011110000101101101111101110011011101100001011101110001101111111101111001001101001001001001001011111010001111011101000011110110000011101000010001000010100101101001010110011110110100010111111111011001000000101000010110100101011101100011111011000110110000000000000010100001100110001001001110111011001011000011111001001011001110010001001110100011001011001001110001001010101001000111111111111111000011111011100000101101010101011001001110110010111101101010010100000000011001000100101000110000111100101001000010101010000000011101000000011010001110000100100011011010010111000011010011000110100011010001000111011001101111000101101100111010010011110001010010001110000010111011010110000111101010111001101000100011101010010111000111100010000001110110001001101101011101110110100110101110111011101011001100100
27,000011001100001100100100110110000000100001111110111001010011100110011110101011100101010001101110011010000100010111100001100011100100110000001011011011000110101101110111110000000101101111011110011011011010001011101111001011101110101100101001111101111001001001011110110000011000101110111010100000011111000010100001010010101101001010110011001110100000110100101011010000000001100001111110001011111101011111111010011110010000001000011100001010110000101001111110001001011010011111000101011101111100101000010001001001011001011110010001000101111101101010011010111001111110011000000101100010101011000011000101101111111101010000110000010011001000101100001100000111100101110000000111100100000101100001000010110001010000110110011011000011111101010111111100110000101000001100111101001011101001011101000100110010100010011010011111100000000001111110100000001101010100000100100100011011011011111011111110010010001110000001001001001000101100100100111111110111011100000111111001
28,000011010100111100100100100111001100111111011110111001100111010001000110111011100101110011100100010011000100010111100000101111100110110011001110011111100111101100011101110000110100111111011110001011001010001111100011101100111111101110100000111001111010011011001010111001001010101001111110100000000111100001100000010100100011000010110001010110000010110011111011010100101011000001111101101111111001011111011000010110000000001000011101001010110001001011100110010001111010011111000101011101010110111000110001011001011001011110110001000101111101101100110110111000111101011001000101111110100011100001000000010101101101011000110000110111111001101101000110001011000111110000100001010000010000100100110010010011100000110100001110010000111001011111111000110001101000001010111001000101101001001101000010010110000000011010010110000000010111111111000000011101010111001100000100010111010110111001011100010000001110110000011000001010111100110101110111110111001110011111111110
29,000011010100111100100100100111001100111111011110111001100111010001000110111011100101110011100100010011000100010111100000101111100110110011001110011111100111101100011101110000110100111111011110001011001010001111100011101100111111101110100000111001111010011011001010111001001010101001111110100000000111100001100000010100100011000010110001010110000010110011111011010100101011000001111101101111111001011111011000010110000000001000011101001010110001001011100110010001111010011111000101011101010110111000110001011001011001011110110001000101111101101100110110111000111101011001000101111110100011100001000000010101101101011000110000110111111001101101000110001011000111110000100001010000010000100100110010010011100000110100001110010000111001011111111000110001101000001010111001000101101001001101000010010110000000011010010110000000010111111111000000011101010111001100000100010111010110111001011100010000001110110000011000001010111100110101110111110111001110011111111110
30,000011010100111100100100100111001100111111011110111001100111010001000110111011100101110011100100010011000100010111100000101111100110110011001110011111100111101100011101110000110100111111011110001011001010001111100011101100111111101110100000111001111010011011001010111001001010101001111110100000000111100001100000010100100011000010110001010110000010110011111011010100101011000001111101101111111001011111011000010110000000001000011101001010110001001011100110010001111010011111000101011101010110111000110001011001011001011110110001000101111101101100110110111000111101011001000101111110100011100001000000010101101101011000110000110111111001101101000110001011000111110000100001010000010000100100110010010011100000110100001110010000111001011111111000110001101000001010111001000101101001001101000010010110000000011010010110000000010111111111000000011101010111001100000100010111010110111001011100010000001110110000011000001010111100110101110111110111001110011111111110
